block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_9501,15300,0,S.F. Zoo,176065,2_merged_9191500,9119381
b_4913,15273,1,North Point + Van Ness,175905,2_merged_9191500,9100776
b_9710,15299,0,Caltrain / Ball Park,176038,3_merged_9191499,9115289
b_9609,15299,0,Folsom & Embarcadero,176037,3_merged_9191499,9115288
a_3011,15033,1,Caltrain Depot,174065,1_merged_9191495,8973406
a_3021,15033,1,Caltrain Depot,174065,1_merged_9191495,8973407
a_3025,15033,1,Caltrain Depot,174065,1_merged_9191495,8973404
a_3015,15033,1,Caltrain Depot,174065,1_merged_9191495,8973405
a_3016,15033,1,Caltrain Depot,174065,1_merged_9191495,8973402
a_3007,15033,1,Caltrain Depot,174065,1_merged_9191495,8973403
a_3001,15033,1,Caltrain Depot,174065,1_merged_9191495,8973400
a_3017,15033,1,Caltrain Depot,174065,1_merged_9191495,8973401
b_706,15230,1,Transit Center,175712,3_merged_9191499,9060698
b_5403,15275,1,Bayview District,175911,3_merged_9191499,9103159
a_6701,15063,0,Alemany + Ellsworth,174181,1_merged_9191495,8999383
a_3024,15033,1,Caltrain Depot,174065,1_merged_9191495,8973408
a_3014,15033,1,Caltrain Depot,174065,1_merged_9191495,8973409
a_2207,15025,0,Third + 20th Streets,174010,3_merged_9191496,8964268
a_2204,15025,0,Third + 20th Streets,174010,3_merged_9191496,8964269
a_2206,15025,0,Third + 20th Streets,174010,3_merged_9191496,8964262
a_2212,15025,0,Third + 20th Streets,174010,3_merged_9191496,8964263
a_2208,15025,0,Third + 20th Streets,174010,3_merged_9191496,8964260
a_2201,15025,0,Third + 20th Streets,174010,3_merged_9191496,8964261
a_2203,15025,0,Third + 20th Streets,174010,3_merged_9191496,8964266
a_2210,15025,0,Third + 20th Streets,174010,3_merged_9191496,8964267
a_2209,15025,0,Third + 20th Streets,174010,3_merged_9191496,8964264
a_6702,15063,0,Alemany + Ellsworth,174181,1_merged_9191495,8999384
b_3501,15259,0,Glen Park BART,175839,2_merged_9191500,9087003
b_3502,15259,0,Glen Park BART,175839,2_merged_9191500,9087002
b_3501,15259,0,Glen Park BART,175839,2_merged_9191500,9087001
b_3502,15259,0,Glen Park BART,175839,2_merged_9191500,9087000
b_3501,15259,0,Glen Park BART,175839,2_merged_9191500,9087007
a_6701,15063,0,Alemany + Ellsworth,174181,1_merged_9191495,8999387
b_3501,15259,0,Glen Park BART,175839,2_merged_9191500,9087005
b_3502,15259,0,Glen Park BART,175839,2_merged_9191500,9087004
b_3501,15259,0,Glen Park BART,175839,2_merged_9191500,9087009
a_6702,15063,0,Alemany + Ellsworth,174181,1_merged_9191495,8999386
a_9593,15032,1,Baker Beach,174057,1_merged_9191495,8971800
a_2904,15032,1,Baker Beach,174057,1_merged_9191495,8971801
a_2903,15032,1,Baker Beach,174057,1_merged_9191495,8971802
a_2909,15032,1,Baker Beach,174057,1_merged_9191495,8971803
a_9592,15032,1,Baker Beach,174057,1_merged_9191495,8971804
a_2903,15032,1,Baker Beach,174057,1_merged_9191495,8971806
a_2901,15032,1,Baker Beach,174057,1_merged_9191495,8971807
a_2911,15032,0,Paul + Third Street,174053,2_merged_9191497,8971808
a_2903,15032,0,Paul + Third Street,174053,2_merged_9191497,8971809
b_9002,15291,1,North Point + Van Ness,175948,3_merged_9191499,9110468
b_6009,15280,0,Beach + Hyde,175924,2_merged_9191500,9107485
b_9003,15291,1,North Point + Van Ness,175948,3_merged_9191499,9110469
b_3011,15435,0,Van Ness + North Point,177330,1_merged_9191498,9165611
b_3015,15435,0,Van Ness + North Point,177330,1_merged_9191498,9165610
b_3024,15435,0,Van Ness + North Point,177330,1_merged_9191498,9165613
b_3021,15435,0,Van Ness + North Point,177330,1_merged_9191498,9165612
b_4704,15271,0,Caltrain Depot,175892,3_merged_9191499,9098098
b_4701,15271,0,Caltrain Depot,175892,3_merged_9191499,9098099
b_3018,15435,0,Van Ness + North Point,177330,1_merged_9191498,9165617
b_3019,15435,0,Van Ness + North Point,177330,1_merged_9191498,9165616
b_4707,15271,0,Caltrain Depot,175892,3_merged_9191499,9098094
b_4705,15271,0,Caltrain Depot,175892,3_merged_9191499,9098095
